# Timestep	Num_Clusters	Max_Cluster_Size
939	7	3426
940	13	3414
941	8	3425
942	8	3425
943	7	3426
944	8	3425
945	10	3423
946	13	3420
947	10	3423
948	8	3425
949	13	3420
950	11	3422
951	11	3422
952	11	3416
953	4	3428
954	8	3425
955	12	3421
956	9	3424
957	11	3422
958	13	3420
959	9	3423
960	14	3419
961	7	3426
962	9	3424
963	10	3423
964	6	3427
965	5	3428
966	13	3420
967	10	3423
968	7	3426
969	8	3425
970	15	3418
971	7	3426
972	17	3415
973	12	3421
974	11	3422
975	14	3418
976	8	3425
977	11	3422
978	10	3422
979	12	3421
980	10	3423
981	7	3426
982	8	3425
983	11	3422
984	12	3421
985	11	3422
986	9	3424
987	9	3422
988	7	3426
989	14	3413
990	9	3424
991	16	3415
992	7	3426
993	14	3419
994	8	3425
995	9	3424
996	7	3426
997	10	3423
998	8	3425
999	14	3419
1000	11	3422
1001	11	3422
1002	10	3423
1003	7	3425
1004	10	3423
1005	10	3423
1006	10	3423
1007	13	3415
1008	7	3426
1009	8	3425
1010	16	3415
1011	13	3420
1012	9	3424
1013	10	3423
1014	12	3421
1015	13	3420
1016	8	3424
1017	6	3427
1018	11	3422
1019	8	3425
1020	9	3424
1021	12	3420
1022	11	3422
1023	9	3424
1024	6	3427
1025	5	3428
1026	9	3424
1027	13	3420
1028	9	3424
1029	5	3428
1030	8	3425
1031	10	3423
1032	10	3423
1033	3	3430
1034	5	3427
1035	13	3420
1036	6	3427
1037	10	3423
1038	8	3425
1039	13	3420
1040	9	3424
1041	11	3422
1042	8	3425
1043	12	3421
1044	11	3422
1045	8	3425
1046	16	3417
1047	8	3425
1048	8	3425
1049	8	3425
1050	7	3426
1051	12	3420
1052	14	3419
1053	14	3419
1054	8	3425
1055	6	3427
1056	11	3422
1057	10	3423
1058	11	3422
1059	14	3418
1060	12	3419
1061	10	3421
1062	6	3426
1063	14	3419
1064	12	3415
1065	7	3426
1066	13	3420
1067	11	3422
1068	9	3424
1069	10	3416
1070	12	3421
1071	10	3423
1072	10	3421
1073	10	3422
1074	13	3420
1075	11	3422
1076	9	3424
1077	12	3420
1078	11	3421
1079	7	3425
1080	16	3417
1081	7	3426
1082	9	3424
1083	11	3422
1084	12	3421
1085	11	3422
1086	15	3418
1087	11	3422
1088	13	3419
1089	8	3423
1090	14	3419
1091	6	3427
1092	11	3422
1093	8	3425
1094	14	3413
1095	8	3425
1096	13	3419
1097	9	3424
1098	10	3423
1099	11	3416
1100	12	3421
1101	6	3427
1102	8	3425
1103	10	3423
1104	7	3426
1105	10	3423
1106	10	3423
1107	9	3424
1108	11	3422
1109	10	3423
1110	9	3424
1111	14	3419
1112	13	3420
1113	7	3426
1114	6	3427
1115	9	3424
1116	7	3426
1117	5	3428
1118	11	3422
1119	8	3425
1120	7	3426
1121	12	3420
1122	4	3429
1123	8	3425
1124	8	3425
1125	8	3425
1126	10	3423
1127	9	3424
1128	10	3423
1129	12	3421
1130	12	3420
1131	8	3425
1132	11	3422
1133	7	3426
1134	10	3423
1135	14	3419
1136	10	3423
1137	9	3424
1138	8	3425
1139	11	3422
1140	10	3423
1141	4	3429
1142	9	3424
1143	10	3422
1144	6	3427
1145	8	3425
1146	8	3425
1147	14	3418
1148	12	3421
1149	7	3426
1150	7	3426
1151	14	3419
1152	9	3423
1153	8	3425
1154	12	3421
1155	10	3423
1156	11	3422
1157	10	3423
1158	8	3425
1159	6	3427
1160	8	3425
1161	9	3424
1162	12	3421
1163	10	3422
1164	12	3420
1165	9	3424
1166	11	3422
1167	7	3426
1168	9	3424
1169	6	3427
1170	8	3425
1171	9	3424
1172	9	3424
1173	4	3429
1174	12	3420
1175	9	3424
1176	6	3427
1177	11	3421
1178	7	3425
1179	8	3425
1180	11	3421
1181	10	3423
1182	11	3422
1183	11	3422
1184	9	3424
1185	12	3421
1186	10	3423
1187	11	3422
1188	8	3425
1189	13	3420
1190	5	3428
1191	9	3424
1192	13	3420
1193	7	3426
1194	12	3421
1195	12	3420
1196	9	3423
1197	11	3422
1198	6	3427
1199	9	3423
1200	10	3423
1201	13	3420
1202	10	3423
1203	10	3423
1204	11	3422
1205	13	3420
1206	12	3421
1207	13	3419
1208	10	3423
1209	10	3422
1210	13	3420
1211	9	3424
1212	8	3425
1213	7	3426
1214	12	3419
1215	9	3424
1216	12	3421
1217	14	3419
1218	12	3420
1219	12	3420
1220	13	3420
1221	9	3423
1222	8	3425
1223	11	3422
1224	11	3422
1225	5	3428
1226	11	3422
1227	11	3422
1228	7	3426
1229	11	3422
1230	15	3417
1231	9	3423
1232	9	3424
1233	7	3426
1234	11	3422
1235	8	3424
1236	14	3417
1237	9	3424
1238	7	3426
1239	11	3416
1240	8	3425
1241	15	3418
1242	5	3428
1243	10	3422
1244	9	3424
1245	8	3425
1246	12	3421
1247	5	3428
1248	10	3423
1249	8	3425
1250	9	3423
1251	11	3422
1252	7	3426
1253	8	3425
1254	10	3423
1255	10	3422
1256	11	3422
1257	10	3423
1258	8	3425
1259	9	3424
1260	14	3418
1261	10	3423
1262	12	3420
1263	8	3425
1264	9	3424
1265	6	3427
1266	9	3424
1267	9	3424
1268	8	3425
1269	6	3427
1270	10	3423
1271	8	3425
1272	12	3421
1273	9	3424
1274	11	3422
1275	12	3420
1276	6	3426
1277	8	3425
1278	10	3423
1279	13	3420
1280	10	3422
1281	7	3426
1282	12	3421
1283	10	3422
1284	4	3429
1285	11	3422
1286	9	3424
1287	10	3423
1288	6	3427
1289	8	3425
1290	7	3426
1291	12	3421
1292	10	3423
1293	10	3423
1294	10	3423
1295	8	3425
1296	12	3421
1297	10	3423
1298	10	3422
1299	9	3423
1300	7	3426
1301	13	3420
1302	10	3423
1303	5	3428
1304	11	3422
1305	13	3420
1306	14	3419
1307	15	3418
1308	13	3420
1309	10	3423
1310	10	3423
1311	6	3426
1312	13	3419
1313	11	3416
1314	10	3423
1315	9	3424
1316	11	3422
1317	9	3424
1318	11	3421
1319	9	3424
1320	5	3428
1321	12	3420
1322	7	3426
1323	15	3418
1324	10	3423
1325	13	3420
1326	12	3420
1327	11	3421
1328	11	3421
1329	11	3422
1330	11	3422
1331	7	3426
1332	8	3425
1333	10	3422
1334	7	3426
1335	7	3426
1336	6	3427
1337	12	3419
1338	5	3428
1339	9	3423
1340	6	3426
1341	8	3425
1342	8	3425
1343	9	3424
1344	12	3420
1345	8	3425
1346	6	3427
1347	7	3426
1348	10	3423
1349	15	3418
1350	9	3424
1351	12	3421
1352	8	3425
1353	9	3424
1354	12	3421
1355	9	3424
1356	13	3420
1357	7	3426
1358	12	3421
1359	10	3423
1360	8	3425
1361	8	3425
1362	10	3422
1363	9	3424
1364	12	3421
1365	13	3420
1366	12	3421
1367	9	3424
1368	6	3427
1369	9	3424
1370	14	3419
1371	8	3425
1372	12	3421
1373	9	3423
1374	12	3421
1375	12	3421
1376	6	3426
1377	10	3422
1378	11	3422
1379	14	3419
1380	8	3425
1381	6	3426
1382	11	3422
1383	14	3419
1384	6	3427
1385	11	3422
1386	7	3426
1387	8	3425
1388	10	3423
1389	7	3425
1390	7	3426
1391	12	3421
1392	11	3422
1393	9	3424
1394	10	3422
1395	7	3426
1396	8	3425
1397	10	3422
1398	13	3420
1399	10	3423
1400	10	3423
1401	13	3419
1402	10	3421
1403	5	3428
1404	7	3426
1405	10	3423
1406	10	3423
1407	8	3425
1408	10	3423
1409	8	3425
1410	5	3428
1411	9	3424
1412	11	3422
1413	16	3417
1414	5	3428
1415	6	3422
1416	9	3424
1417	10	3423
1418	10	3423
1419	4	3429
1420	10	3423
1421	10	3423
1422	6	3427
1423	7	3426
1424	12	3421
1425	10	3423
1426	10	3423
1427	8	3425
1428	14	3418
1429	11	3422
1430	10	3422
1431	5	3428
1432	8	3425
1433	7	3426
1434	9	3424
1435	13	3420
1436	9	3424
1437	5	3428
1438	8	3424
1439	11	3422
1440	7	3426
1441	12	3421
1442	8	3425
1443	10	3423
1444	9	3424
1445	8	3425
1446	11	3422
1447	12	3420
1448	5	3428
1449	13	3420
1450	10	3423
1451	8	3425
1452	9	3424
1453	14	3418
1454	10	3423
1455	10	3423
1456	7	3425
1457	8	3425
1458	10	3423
1459	9	3424
1460	9	3424
1461	13	3420
1462	7	3426
1463	8	3425
1464	7	3426
1465	6	3427
1466	9	3424
1467	9	3424
1468	6	3427
1469	7	3426
1470	9	3424
1471	8	3425
1472	8	3425
1473	5	3422
1474	10	3423
1475	7	3426
1476	7	3426
1477	6	3427
1478	5	3428
1479	13	3420
1480	14	3413
1481	9	3424
1482	11	3422
1483	8	3425
1484	5	3428
1485	11	3422
1486	4	3429
1487	5	3428
1488	11	3421
1489	8	3425
1490	10	3423
1491	9	3419
1492	8	3425
1493	13	3419
1494	12	3421
1495	11	3421
1496	10	3423
1497	10	3417
1498	9	3423
1499	14	3413
1500	15	3418
1501	10	3423
1502	14	3419
1503	11	3422
1504	11	3421
1505	13	3420
1506	6	3427
1507	3	3430
1508	10	3423
1509	11	3421
1510	10	3423
1511	10	3422
1512	14	3418
1513	10	3423
1514	8	3425
1515	8	3424
1516	9	3424
1517	12	3420
1518	9	3423
1519	9	3424
1520	6	3426
1521	12	3420
1522	15	3418
1523	13	3420
1524	14	3419
1525	9	3423
1526	15	3417
1527	9	3424
1528	8	3425
1529	12	3420
1530	10	3423
1531	8	3423
1532	7	3426
1533	14	3419
1534	10	3423
1535	13	3420
1536	8	3425
1537	14	3419
1538	3	3430
1539	11	3422
1540	6	3427
1541	13	3420
1542	8	3425
1543	14	3419
1544	15	3412
1545	10	3423
1546	8	3424
1547	14	3419
1548	8	3424
1549	10	3422
1550	8	3424
1551	12	3421
1552	5	3428
1553	5	3428
1554	11	3421
1555	13	3420
1556	10	3422
1557	12	3421
1558	9	3417
1559	8	3424
1560	10	3422
1561	8	3424
1562	7	3425
1563	6	3427
1564	4	3429
1565	12	3421
1566	9	3424
1567	15	3418
1568	5	3427
1569	7	3424
1570	13	3420
1571	12	3421
1572	7	3426
1573	11	3422
1574	8	3425
1575	8	3425
1576	7	3426
1577	9	3423
1578	12	3421
1579	9	3424
1580	11	3422
1581	8	3425
1582	14	3417
1583	6	3427
1584	7	3426
1585	12	3421
1586	8	3425
1587	8	3424
1588	12	3421
1589	15	3417
1590	13	3420
1591	11	3422
1592	8	3425
1593	10	3422
1594	8	3425
1595	10	3423
1596	8	3425
1597	11	3422
1598	9	3424
1599	15	3410
1600	13	3419
1601	9	3424
1602	11	3422
1603	6	3427
1604	15	3418
1605	8	3424
1606	10	3423
