# Hop_Value_(h)	PDF
8.68211122	0.00000870
8.69473837	0.00000801
8.70736552	0.00000768
8.71999268	0.00000730
8.73261983	0.00000638
8.74524698	0.00000500
8.75787414	0.00000414
8.77050129	0.00000518
8.78312844	0.00000888
8.79575559	0.00001456
8.80838275	0.00001999
8.82100990	0.00002264
8.83363705	0.00002159
8.84626421	0.00001799
8.85889136	0.00001372
8.87151851	0.00000993
8.88414567	0.00000708
8.89677282	0.00000555
8.90939997	0.00000540
8.92202713	0.00000594
8.93465428	0.00000602
8.94728143	0.00000510
8.95990859	0.00000370
8.97253574	0.00000289
8.98516289	0.00000328
8.99779005	0.00000457
9.01041720	0.00000576
9.02304435	0.00000600
9.03567150	0.00000548
9.04829866	0.00000549
9.06092581	0.00000724
9.07355296	0.00001074
9.08618012	0.00001453
9.09880727	0.00001674
9.11143442	0.00001662
9.12406158	0.00001486
9.13668873	0.00001275
9.14931588	0.00001109
9.16194304	0.00000995
9.17457019	0.00000902
9.18719734	0.00000787
9.19982450	0.00000636
9.21245165	0.00000504
9.22507880	0.00000464
9.23770595	0.00000523
9.25033311	0.00000593
9.26296026	0.00000571
9.27558741	0.00000438
9.28821457	0.00000263
9.30084172	0.00000123
9.31346887	0.00000045
9.32609603	0.00000013
9.33872318	0.00000003
9.35135033	0.00000001
9.36397749	0.00000004
9.37660464	0.00000019
9.38923179	0.00000066
9.40185895	0.00000180
9.41448610	0.00000394
9.42711325	0.00000695
9.43974041	0.00000999
9.45236756	0.00001200
9.46499471	0.00001244
9.47762186	0.00001163
9.49024902	0.00001013
9.50287617	0.00000839
9.51550332	0.00000688
9.52813048	0.00000616
9.54075763	0.00000623
9.55338478	0.00000631
9.56601194	0.00000557
9.57863909	0.00000397
9.59126624	0.00000223
9.60389340	0.00000098
9.61652055	0.00000033
9.62914770	0.00000009
9.64177486	0.00000002
9.65440201	0.00000000
9.66702916	0.00000000
9.67965632	0.00000000
9.69228347	0.00000001
9.70491062	0.00000007
9.71753777	0.00000026
9.73016493	0.00000080
9.74279208	0.00000192
9.75541923	0.00000358
9.76804639	0.00000519
9.78067354	0.00000585
9.79330069	0.00000514
9.80592785	0.00000358
9.81855500	0.00000218
9.83118215	0.00000172
9.84380931	0.00000244
9.85643646	0.00000396
9.86906361	0.00000541
9.88169077	0.00000581
9.89431792	0.00000487
9.90694507	0.00000317
9.91957223	0.00000161
9.93219938	0.00000063
9.94482653	0.00000019
9.95745368	0.00000005
9.97008084	0.00000001
9.98270799	0.00000004
9.99533514	0.00000016
10.00796230	0.00000053
10.02058945	0.00000140
10.03321660	0.00000288
10.04584376	0.00000461
10.05847091	0.00000574
10.07109806	0.00000557
10.08372522	0.00000422
10.09635237	0.00000257
10.10897952	0.00000154
10.12160668	0.00000165
10.13423383	0.00000309
10.14686098	0.00000569
10.15948814	0.00000864
10.17211529	0.00001060
10.18474244	0.00001055
10.19736959	0.00000858
10.20999675	0.00000598
10.22262390	0.00000426
10.23525105	0.00000411
10.24787821	0.00000506
10.26050536	0.00000586
10.27313251	0.00000554
10.28575967	0.00000412
10.29838682	0.00000238
10.31101397	0.00000108
10.32364113	0.00000038
10.33626828	0.00000010
10.34889543	0.00000002
10.36152259	0.00000000
10.37414974	0.00000000
10.38677689	0.00000000
10.39940405	0.00000000
10.41203120	0.00000000
10.42465835	0.00000000
10.43728550	0.00000000
10.44991266	0.00000000
10.46253981	0.00000000
10.47516696	0.00000000
10.48779412	0.00000000
10.50042127	0.00000000
10.51304842	0.00000000
10.52567558	0.00000000
10.53830273	0.00000000
10.55092988	0.00000000
10.56355704	0.00000000
10.57618419	0.00000000
10.58881134	0.00000000
10.60143850	0.00000000
10.61406565	0.00000000
10.62669280	0.00000000
10.63931995	0.00000000
10.65194711	0.00000000
10.66457426	0.00000000
10.67720141	0.00000000
10.68982857	0.00000000
10.70245572	0.00000000
10.71508287	0.00000000
10.72771003	0.00000000
10.74033718	0.00000001
10.75296433	0.00000005
10.76559149	0.00000021
10.77821864	0.00000068
10.79084579	0.00000171
10.80347295	0.00000331
10.81610010	0.00000502
10.82872725	0.00000605
10.84135441	0.00000602
10.85398156	0.00000560
10.86660871	0.00000585
10.87923586	0.00000716
10.89186302	0.00000888
10.90449017	0.00000990
10.91711732	0.00000951
10.92974448	0.00000773
10.94237163	0.00000523
10.95499878	0.00000288
10.96762594	0.00000128
10.98025309	0.00000046
10.99288024	0.00000017
11.00550740	0.00000020
11.01813455	0.00000059
11.03076170	0.00000151
11.04338886	0.00000304
11.05601601	0.00000476
11.06864316	0.00000579
11.08127032	0.00000548
11.09389747	0.00000403
11.10652462	0.00000231
11.11915177	0.00000103
11.13177893	0.00000036
11.14440608	0.00000010
11.15703323	0.00000002
11.16966039	0.00000000
11.18228754	0.00000000
11.19491469	0.00000003
11.20754185	0.00000012
11.22016900	0.00000043
11.23279615	0.00000118
11.24542331	0.00000255
11.25805046	0.00000429
11.27067761	0.00000561
11.28330477	0.00000571
11.29593192	0.00000452
11.30855907	0.00000278
11.32118623	0.00000133
11.33381338	0.00000050
11.34644053	0.00000014
11.35906768	0.00000003
11.37169484	0.00000001
11.38432199	0.00000000
11.39694914	0.00000000
11.40957630	0.00000000
11.42220345	0.00000000
11.43483060	0.00000000
11.44745776	0.00000000
11.46008491	0.00000000
11.47271206	0.00000000
11.48533922	0.00000000
11.49796637	0.00000000
11.51059352	0.00000000
11.52322068	0.00000000
11.53584783	0.00000000
11.54847498	0.00000000
11.56110214	0.00000000
11.57372929	0.00000000
11.58635644	0.00000000
11.59898359	0.00000000
11.61161075	0.00000000
11.62423790	0.00000000
11.63686505	0.00000000
11.64949221	0.00000000
11.66211936	0.00000000
11.67474651	0.00000000
11.68737367	0.00000000
11.70000082	0.00000000
11.71262797	0.00000000
11.72525513	0.00000000
11.73788228	0.00000000
11.75050943	0.00000000
11.76313659	0.00000000
11.77576374	0.00000000
11.78839089	0.00000000
11.80101805	0.00000000
11.81364520	0.00000000
11.82627235	0.00000000
11.83889950	0.00000000
11.85152666	0.00000000
11.86415381	0.00000000
11.87678096	0.00000000
11.88940812	0.00000000
11.90203527	0.00000000
11.91466242	0.00000000
11.92728958	0.00000000
11.93991673	0.00000000
