# Timestep	Num_Clusters	Max_Cluster_Size
812	11	3422
813	8	3425
814	19	3413
815	10	3423
816	19	3412
817	15	3418
818	11	3421
819	8	3424
820	6	3427
821	12	3421
822	3	3430
823	16	3417
824	13	3419
825	16	3417
826	12	3421
827	10	3423
828	11	3422
829	7	3426
830	9	3424
831	11	3422
832	11	3421
833	10	3418
834	10	3423
835	16	3415
836	9	3417
837	14	3419
838	15	3417
839	11	3422
840	14	3419
841	10	3423
842	12	3421
843	9	3424
844	11	3422
845	14	3419
846	13	3414
847	17	3416
848	7	3426
849	12	3421
850	13	3420
851	10	3422
852	10	3422
853	11	3422
854	16	3417
855	14	3418
856	11	3422
857	14	3419
858	17	3411
859	7	3426
860	10	3423
861	14	3418
862	10	3423
863	9	3424
864	12	3420
865	16	3417
866	16	3417
867	9	3424
868	12	3421
869	9	3424
870	11	3422
871	13	3420
872	9	3424
873	9	3424
874	10	3423
875	5	3428
876	13	3420
877	13	3420
878	11	3422
879	16	3416
880	15	3413
881	14	3419
882	13	3420
883	10	3423
884	10	3423
885	6	3427
886	12	3421
887	14	3419
888	8	3425
889	5	3428
890	7	3426
891	13	3420
892	10	3418
893	9	3424
894	10	3422
895	15	3418
896	11	3422
897	10	3422
898	10	3418
899	8	3425
900	6	3427
901	6	3427
902	12	3421
903	10	3423
904	14	3419
905	11	3422
906	11	3421
907	10	3423
908	12	3421
909	13	3420
910	9	3424
911	5	3428
912	12	3421
913	11	3422
914	11	3422
915	12	3421
916	15	3418
917	10	3423
918	14	3419
919	16	3417
920	9	3424
921	8	3424
922	13	3414
923	6	3426
924	14	3418
925	14	3419
926	13	3420
927	12	3414
928	6	3427
929	11	3422
930	6	3427
931	15	3417
932	8	3425
933	13	3420
934	12	3421
935	12	3415
936	10	3423
937	9	3423
938	11	3416
939	13	3419
940	8	3425
941	15	3418
942	14	3419
943	13	3420
944	8	3425
945	12	3415
946	12	3421
947	15	3418
948	12	3421
949	8	3425
950	7	3424
951	7	3426
952	13	3420
953	15	3418
954	7	3425
955	9	3424
956	12	3421
957	8	3425
958	8	3423
959	12	3420
960	5	3428
961	14	3419
962	9	3419
963	8	3425
964	7	3426
965	13	3420
966	11	3422
967	16	3417
968	8	3425
969	7	3426
970	9	3424
971	11	3422
972	14	3419
973	5	3428
974	7	3426
975	16	3417
976	7	3426
977	7	3426
978	9	3424
979	8	3425
980	14	3419
981	12	3421
982	15	3417
983	13	3420
984	14	3419
985	11	3421
986	15	3412
987	8	3425
988	10	3423
989	10	3423
990	14	3418
991	9	3424
992	11	3420
993	10	3422
994	13	3420
995	13	3419
996	10	3423
997	12	3421
998	11	3422
999	8	3425
1000	12	3421
1001	8	3424
1002	11	3417
1003	11	3422
1004	6	3427
1005	5	3427
1006	9	3424
1007	12	3421
1008	10	3423
1009	8	3425
1010	9	3424
1011	11	3422
1012	7	3426
1013	10	3423
1014	15	3418
1015	6	3427
1016	12	3421
1017	11	3421
1018	14	3413
1019	11	3421
1020	12	3421
1021	9	3423
1022	10	3423
1023	12	3421
1024	11	3422
1025	14	3418
1026	8	3425
1027	13	3419
1028	10	3423
1029	10	3422
1030	13	3420
1031	19	3413
1032	11	3422
1033	4	3429
1034	13	3419
1035	8	3423
1036	9	3423
1037	12	3421
1038	15	3418
1039	10	3423
1040	12	3421
1041	12	3421
1042	11	3422
1043	9	3424
1044	13	3420
1045	13	3420
1046	9	3424
1047	9	3423
1048	10	3422
1049	6	3427
1050	10	3423
1051	8	3424
1052	7	3425
1053	7	3425
1054	11	3422
1055	12	3421
1056	10	3422
1057	8	3425
1058	14	3419
1059	10	3423
1060	7	3425
1061	12	3421
1062	11	3422
1063	13	3420
1064	11	3422
1065	10	3423
1066	11	3422
1067	14	3414
1068	11	3421
1069	14	3419
1070	13	3420
1071	5	3428
1072	15	3418
1073	12	3421
1074	7	3426
1075	9	3424
1076	10	3423
1077	8	3425
1078	12	3419
1079	8	3425
1080	8	3425
1081	8	3425
1082	12	3421
1083	13	3418
1084	13	3420
1085	12	3421
1086	9	3424
1087	12	3421
1088	10	3423
1089	9	3418
1090	10	3417
1091	9	3423
1092	12	3421
1093	14	3419
1094	11	3420
1095	9	3424
1096	10	3423
1097	10	3423
1098	12	3420
1099	15	3418
1100	10	3423
1101	7	3425
1102	9	3424
1103	8	3425
1104	15	3418
1105	14	3419
1106	8	3425
1107	11	3422
1108	10	3423
1109	12	3421
1110	17	3416
1111	8	3425
1112	11	3422
1113	8	3423
1114	12	3420
1115	8	3425
1116	7	3426
1117	14	3418
1118	12	3421
1119	13	3419
1120	13	3420
1121	10	3423
1122	13	3420
1123	10	3423
1124	6	3426
1125	7	3426
1126	5	3428
1127	10	3423
1128	6	3426
1129	14	3418
1130	10	3423
1131	9	3424
1132	9	3424
1133	9	3424
1134	8	3425
1135	5	3428
1136	10	3423
1137	10	3418
1138	11	3422
1139	11	3422
1140	7	3425
1141	11	3421
1142	12	3421
1143	12	3421
1144	12	3421
1145	13	3419
1146	5	3428
1147	12	3421
1148	15	3418
1149	12	3421
1150	13	3419
1151	7	3426
1152	7	3426
1153	8	3424
1154	14	3419
1155	9	3424
1156	10	3422
1157	14	3418
1158	13	3420
1159	7	3426
1160	16	3416
1161	7	3426
1162	17	3414
1163	14	3417
1164	13	3420
1165	13	3420
1166	16	3416
1167	8	3425
1168	12	3420
1169	15	3418
1170	13	3420
1171	11	3422
1172	8	3424
1173	10	3422
1174	14	3419
1175	11	3422
1176	7	3426
1177	10	3423
1178	8	3425
1179	7	3426
1180	11	3422
1181	9	3424
1182	10	3423
1183	10	3423
1184	11	3422
1185	9	3424
1186	9	3424
1187	12	3421
1188	9	3424
1189	9	3419
1190	9	3424
1191	9	3423
1192	10	3422
1193	11	3421
1194	15	3417
1195	14	3419
1196	9	3423
1197	12	3421
1198	8	3425
1199	11	3422
1200	9	3424
1201	13	3420
1202	8	3425
1203	11	3421
1204	11	3422
1205	10	3422
1206	12	3421
1207	11	3422
1208	10	3423
1209	12	3421
1210	10	3423
1211	9	3424
1212	11	3422
1213	11	3422
1214	9	3423
